Iter    Part1    Part2  
1   7.9362596E-04   4.2496969E-03  
2   2.1954574E-03   6.7905318E-03  
3   4.8293287E-03   2.4686928E-03  
4   5.6724902E-03   6.4031126E-03  
5   1.4175230E-02   4.9788941E-03  
6   3.5691414E-03   5.7582716E-03  
7   6.6290479E-03   5.5920463E-03  
8   3.2488999E-03   6.0611453E-03  
9   1.4031644E-02   6.6563490E-03  
10   3.4747066E-03   2.4790972E-03  
11   4.4767220E-03   1.5132844E-02  
12   3.5725463E-03   1.5080954E-02  
13   5.6884589E-03   1.5039257E-02  
14   2.9195600E-03   5.8414870E-03  
15   3.4648815E-03   2.6128699E-03  
16   5.7987105E-03   2.6253957E-03  
17   3.0755293E-03   2.5195577E-03  
18   3.0012879E-03   5.9717538E-03  
19   3.5063442E-03   6.8102094E-03  
20   1.4128557E-02   2.5001548E-03  
21   1.4177426E-02   2.5090217E-03  
22   2.8559003E-03   2.5156199E-03  
23   2.9530965E-03   1.5023859E-02  
24   2.8987475E-03   1.5067972E-02  
25   3.0127220E-03   5.5178928E-03  
26   1.4136129E-02   4.8119082E-03  
27   3.0165135E-03   1.4990659E-02  
28   5.7775189E-03   6.0677940E-03  
29   2.9953038E-03   2.4882081E-03  
30   1.4119157E-02   6.0144218E-03  
31   2.9774759E-03   1.5073231E-02  
32   1.4196700E-02   5.9160805E-03  
33   1.4195438E-02   6.0903166E-03  
34   3.0423005E-03   1.4961514E-02  
35   2.9821240E-03   2.5045513E-03  
36   1.4117423E-02   5.9736590E-03  
37   2.3445186E-03   5.8733716E-03  
38   4.3051333E-03   2.4906341E-03  
39   5.7463063E-03   5.5904947E-03  
40   5.7630488E-03   1.5042196E-02  
41   2.8988967E-03   5.4897126E-03  
42   2.8971275E-03   5.9364500E-03  
43   2.4017316E-03   1.5065258E-02  
44   3.4664254E-03   6.0146370E-03  
45   3.7137210E-03   2.4905865E-03  
46   1.4118070E-02   2.4838068E-03  
47   5.7432377E-03   5.8423330E-03  
48   5.7614993E-03   6.7498994E-03  
49   1.9493600E-03   2.5112255E-03  
50   1.4115613E-02   1.4998120E-02  
51   1.3919040E-03   2.4870857E-03  
52   5.7615869E-03   6.1030524E-03  
53   1.2328584E-02   2.4884674E-03  
54   1.4082557E-02   1.5079197E-02  
55   1.3322891E-03   6.5614049E-03  
56   2.7227620E-03   2.4829482E-03  
57   2.4031145E-03   2.4829152E-03  
58   2.5387739E-03   2.5013526E-03  
59   2.7367079E-03   2.5270713E-03  
60   2.7340510E-03   2.5960409E-03  
61   2.6106698E-03   3.9491237E-03  
62   2.9136550E-03   5.6751679E-03  
63   1.4117259E-02   5.7301171E-03  
64   1.0144268E-02   6.0386411E-03  
