Iter  Part1  Part2  
1   7.9362596E-04   4.2496969E-03  
2   7.9362596E-04   4.2496969E-03  
3   7.9362596E-04   2.4686928E-03  
4   7.9362596E-04   2.4686928E-03  
5   7.9362596E-04   2.4686928E-03  
6   7.9362596E-04   2.4686928E-03  
7   7.9362596E-04   2.4686928E-03  
8   7.9362596E-04   2.4686928E-03  
9   7.9362596E-04   2.4686928E-03  
10   7.9362596E-04   2.4686928E-03  
11   7.9362596E-04   2.4686928E-03  
12   7.9362596E-04   2.4686928E-03  
13   7.9362596E-04   2.4686928E-03  
14   7.9362596E-04   2.4686928E-03  
15   7.9362596E-04   2.4686928E-03  
16   7.9362596E-04   2.4686928E-03  
17   7.9362596E-04   2.4686928E-03  
18   7.9362596E-04   2.4686928E-03  
19   7.9362596E-04   2.4686928E-03  
20   7.9362596E-04   2.4686928E-03  
21   7.9362596E-04   2.4686928E-03  
22   7.9362596E-04   2.4686928E-03  
23   7.9362596E-04   2.4686928E-03  
24   7.9362596E-04   2.4686928E-03  
25   7.9362596E-04   2.4686928E-03  
26   7.9362596E-04   2.4686928E-03  
27   7.9362596E-04   2.4686928E-03  
28   7.9362596E-04   2.4686928E-03  
29   7.9362596E-04   2.4686928E-03  
30   7.9362596E-04   2.4686928E-03  
31   7.9362596E-04   2.4686928E-03  
32   7.9362596E-04   2.4686928E-03  
33   7.9362596E-04   2.4686928E-03  
34   7.9362596E-04   2.4686928E-03  
35   7.9362596E-04   2.4686928E-03  
36   7.9362596E-04   2.4686928E-03  
37   7.9362596E-04   2.4686928E-03  
38   7.9362596E-04   2.4686928E-03  
39   7.9362596E-04   2.4686928E-03  
40   7.9362596E-04   2.4686928E-03  
41   7.9362596E-04   2.4686928E-03  
42   7.9362596E-04   2.4686928E-03  
43   7.9362596E-04   2.4686928E-03  
44   7.9362596E-04   2.4686928E-03  
45   7.9362596E-04   2.4686928E-03  
46   7.9362596E-04   2.4686928E-03  
47   7.9362596E-04   2.4686928E-03  
48   7.9362596E-04   2.4686928E-03  
49   7.9362596E-04   2.4686928E-03  
50   7.9362596E-04   2.4686928E-03  
51   7.9362596E-04   2.4686928E-03  
52   7.9362596E-04   2.4686928E-03  
53   7.9362596E-04   2.4686928E-03  
54   7.9362596E-04   2.4686928E-03  
55   7.9362596E-04   2.4686928E-03  
56   7.9362596E-04   2.4686928E-03  
57   7.9362596E-04   2.4686928E-03  
58   7.9362596E-04   2.4686928E-03  
59   7.9362596E-04   2.4686928E-03  
60   7.9362596E-04   2.4686928E-03  
61   7.9362596E-04   2.4686928E-03  
62   7.9362596E-04   2.4686928E-03  
63   7.9362596E-04   2.4686928E-03  
64   7.9362596E-04   2.4686928E-03  
65   7.9362596E-04   2.4686928E-03  
66   7.9362596E-04   2.4686928E-03  
67   7.9362596E-04   2.4686928E-03  
68   7.9362596E-04   2.4686928E-03  
69   7.9362596E-04   2.4686928E-03  
70   7.9362596E-04   2.4686928E-03  
